id,train_id,coach_number,coach_class,total_seats,available_seats,base_fare,has_ac,has_charging,has_wifi,created_at,updated_at
1,1,F1,FIRST_AC,18,3,3000,1,1,1,2025-12-31 07:53:40,2025-12-31 07:53:40
2,1,S2,SECOND_AC,48,16,1800,1,1,0,2025-12-31 07:53:40,2025-12-31 07:53:40
3,1,S3,SECOND_AC,48,33,1800,1,1,0,2025-12-31 07:53:40,2025-12-31 07:53:40
4,1,S4,SECOND_AC,48,10,1800,1,1,0,2025-12-31 07:53:40,2025-12-31 07:53:40
5,1,T5,THIRD_AC,64,17,1000,1,1,0,2025-12-31 07:53:40,2025-12-31 07:53:40
6,1,T6,THIRD_AC,64,37,1000,1,1,0,2025-12-31 07:53:40,2025-12-31 07:53:40
7,1,T7,THIRD_AC,64,14,1000,1,1,0,2025-12-31 07:53:40,2025-12-31 07:53:40
8,1,T8,THIRD_AC,64,38,1000,1,1,0,2025-12-31 07:53:40,2025-12-31 07:53:40
9,1,T9,THIRD_AC,64,33,1000,1,1,0,2025-12-31 07:53:40,2025-12-31 07:53:40
10,1,S10,SLEEPER,72,27,500,0,0,0,2025-12-31 07:53:40,2025-12-31 07:53:40
11,1,S11,SLEEPER,72,36,500,0,0,0,2025-12-31 07:53:40,2025-12-31 07:53:40
12,1,S12,SLEEPER,72,40,500,0,0,0,2025-12-31 07:53:40,2025-12-31 07:53:40
13,3,F1,FIRST_AC,18,4,3000,1,1,1,2025-12-31 07:53:40,2025-12-31 07:53:40
14,3,S2,SECOND_AC,48,32,1800,1,1,0,2025-12-31 07:53:40,2025-12-31 07:53:40
15,3,S3,SECOND_AC,48,10,1800,1,1,0,2025-12-31 07:53:40,2025-12-31 07:53:40
16,3,S4,SECOND_AC,48,18,1800,1,1,0,2025-12-31 07:53:40,2025-12-31 07:53:40
17,3,T5,THIRD_AC,64,18,1000,1,1,0,2025-12-31 07:53:40,2025-12-31 07:53:40
18,3,T6,THIRD_AC,64,25,1000,1,1,0,2025-12-31 07:53:40,2025-12-31 07:53:40
19,3,T7,THIRD_AC,64,31,1000,1,1,0,2025-12-31 07:53:40,2025-12-31 07:53:40
20,3,T8,THIRD_AC,64,16,1000,1,1,0,2025-12-31 07:53:40,2025-12-31 07:53:40
21,3,T9,THIRD_AC,64,15,1000,1,1,0,2025-12-31 07:53:40,2025-12-31 07:53:40
22,3,S10,SLEEPER,72,46,500,0,0,0,2025-12-31 07:53:40,2025-12-31 07:53:40
23,3,S11,SLEEPER,72,26,500,0,0,0,2025-12-31 07:53:40,2025-12-31 07:53:40
24,3,S12,SLEEPER,72,41,500,0,0,0,2025-12-31 07:53:40,2025-12-31 07:53:40
