id,idempotency_key,request_hash,response_body,status,operation_type,entity_id,error_message,created_at,expires_at,version
1,BKG-20251231-9IQKS4JI-96dde739-cb51-4b68-a1f8-926d3291e9d2,t08d1zrcb9fo9zfcapjard,"{""success"":true,""booking_id"":""BKG-20251231-9IQKS4JI""}",COMPLETED,PROCESS_PAYMENT,BKG-20251231-9IQKS4JI,,2025-12-12T05:14:41.257Z,2025-12-13T05:14:41.257Z,0
2,BKG-20251231-0T3AXQ60-0e71ccef-4672-4dc9-9027-ffab2072f56e,9ql0r3mtx0tp9m8w8b9fn,,PROCESSING,PROCESS_PAYMENT,BKG-20251231-0T3AXQ60,,2026-01-26T22:11:32.780Z,2026-01-27T22:11:32.780Z,0
3,BKG-20251231-M8K9ONBR-43546934-b338-4e7d-b5bb-c98f062ba50d,5k2q9d52iqi5jamme5h3ok,"{""success"":true,""booking_id"":""BKG-20251231-M8K9ONBR""}",COMPLETED,PROCESS_PAYMENT,BKG-20251231-M8K9ONBR,,2025-12-19T15:45:07.971Z,2025-12-20T15:45:07.971Z,0
4,BKG-20251231-M5VXV54U-8f2ae8ff-2c5d-4ffb-a369-52d6b2996d41,3aly11c4oklbjt8iay9q2b,"{""success"":true,""booking_id"":""BKG-20251231-M5VXV54U""}",COMPLETED,CREATE_BOOKING,BKG-20251231-M5VXV54U,,2025-12-29T23:25:31.943Z,2025-12-30T23:25:31.943Z,0
5,BKG-20251231-TBK75JY9-aac62e29-a991-4573-a973-c269141053c8,1krmukt93jw15gvgf2bqya,"{""success"":true,""booking_id"":""BKG-20251231-TBK75JY9""}",COMPLETED,CREATE_BOOKING,BKG-20251231-TBK75JY9,,2025-12-30T18:37:03.315Z,2025-12-31T18:37:03.315Z,0
6,BKG-20251231-7AXS2OF1-71cdb93e-29ab-47d6-903d-01b76931a916,uejxiloefff05agabgn2a79,"{""success"":true,""booking_id"":""BKG-20251231-7AXS2OF1""}",COMPLETED,CONFIRM_BOOKING,BKG-20251231-7AXS2OF1,,2025-12-27T02:35:42.030Z,2025-12-28T02:35:42.030Z,0
7,BKG-20251231-9TG2XEG7-695f9a29-0171-4a94-bbdb-2bc6019d24d0,in3xkva9th99u9hl4il64,"{""success"":true,""booking_id"":""BKG-20251231-9TG2XEG7""}",COMPLETED,PROCESS_PAYMENT,BKG-20251231-9TG2XEG7,,2026-01-22T20:29:02.007Z,2026-01-23T20:29:02.007Z,0
8,BKG-20251231-3D3WYY20-e402eca4-b589-4167-b6c1-48bd0c4c754b,f4irdhi9jka5yfmsssoc6e,"{""success"":true,""booking_id"":""BKG-20251231-3D3WYY20""}",COMPLETED,PROCESS_PAYMENT,BKG-20251231-3D3WYY20,,2026-01-06T03:26:47.992Z,2026-01-07T03:26:47.992Z,0
9,BKG-20251231-VAU5Y1OK-1fa32631-c9fa-458b-b7e8-897c00f69028,yigtjsmo3vizh6ixo0q7lh,"{""success"":true,""booking_id"":""BKG-20251231-VAU5Y1OK""}",COMPLETED,CREATE_BOOKING,BKG-20251231-VAU5Y1OK,,2025-12-11T10:23:53.183Z,2025-12-12T10:23:53.183Z,0
10,BKG-20251231-C7Y94E1B-74099a1c-512e-44e3-9589-56a3bdb9d5b5,qljc16oe4792rdmg5t3c,"{""success"":true,""booking_id"":""BKG-20251231-C7Y94E1B""}",COMPLETED,CREATE_BOOKING,BKG-20251231-C7Y94E1B,,2026-01-01T23:47:24.854Z,2026-01-02T23:47:24.854Z,0
11,BKG-20251231-9HED4037-b36cecc5-d867-4006-88c8-fa2f77f8bc55,5b5yjzv8h7azrlos10oo5,,PROCESSING,CONFIRM_BOOKING,BKG-20251231-9HED4037,,2026-01-16T02:59:57.711Z,2026-01-17T02:59:57.711Z,0
12,BKG-20251231-XOC4SPRD-1b5c313f-3ee6-4d9a-9237-1307e737844f,6lr4nm7firjcmtoz82crnq,"{""success"":true,""booking_id"":""BKG-20251231-XOC4SPRD""}",COMPLETED,CONFIRM_BOOKING,BKG-20251231-XOC4SPRD,,2026-01-07T20:58:13.815Z,2026-01-08T20:58:13.815Z,0
13,BKG-20251231-VBLG6W1J-c47b7ce4-e293-4993-a2ce-9c72568689dc,2b24hteqcqso7hcqqdee3j,"{""success"":true,""booking_id"":""BKG-20251231-VBLG6W1J""}",COMPLETED,CONFIRM_BOOKING,BKG-20251231-VBLG6W1J,,2026-01-05T13:10:57.093Z,2026-01-06T13:10:57.093Z,0
14,BKG-20251231-ESZL1W48-6b771b5f-32fc-4715-b4ac-1d8a7f5e92b3,gpi7ghdrb7i8d3datly2pg,"{""success"":true,""booking_id"":""BKG-20251231-ESZL1W48""}",COMPLETED,CANCEL_BOOKING,BKG-20251231-ESZL1W48,,2025-12-05T14:46:46.337Z,2025-12-06T14:46:46.337Z,0
15,BKG-20251231-R3NU91TZ-cfe0dd8a-248e-44d5-9eeb-140198916ed3,lk406kxfjqd5rivor0tk99,"{""success"":true,""booking_id"":""BKG-20251231-R3NU91TZ""}",COMPLETED,PROCESS_PAYMENT,BKG-20251231-R3NU91TZ,,2025-12-19T16:42:42.080Z,2025-12-20T16:42:42.080Z,0
16,BKG-20251231-213RRFH5-5d3d50eb-2fe9-4194-87ad-3edffe65323b,4xmu58h0twivj0yand6sv,"{""success"":true,""booking_id"":""BKG-20251231-213RRFH5""}",COMPLETED,CONFIRM_BOOKING,BKG-20251231-213RRFH5,,2025-12-25T13:13:05.605Z,2025-12-26T13:13:05.605Z,0
17,BKG-20251231-7VVTKYHX-2adc165a-35d8-4337-8199-1e464b09082d,70s22kfma0hlaexzivkzyo,"{""success"":true,""booking_id"":""BKG-20251231-7VVTKYHX""}",COMPLETED,CREATE_BOOKING,BKG-20251231-7VVTKYHX,,2026-01-05T09:20:30.106Z,2026-01-06T09:20:30.106Z,0
18,BKG-20251231-OEEIDP0N-f239df15-1dcd-4217-b106-45deb8a4d4f7,1ezqbglss5hd7w1y2c0uo,"{""success"":true,""booking_id"":""BKG-20251231-OEEIDP0N""}",COMPLETED,CREATE_BOOKING,BKG-20251231-OEEIDP0N,,2026-01-03T23:24:05.195Z,2026-01-04T23:24:05.195Z,0
