id,booking_id,user_id,source_station,destination_station,journey_date,status,journey_type,total_fare,total_travel_time_minutes,total_layover_minutes,created_at,confirmed_at,cancelled_at,version
1,BKG-20251231-9IQKS4JI,971,Amritsar,Bhopal Junction,2025-12-28,CONFIRMED,SINGLE_TRAIN,4835,697,0,2025-12-12T05:14:41.257Z,2025-12-12T05:18:46.573Z,,0
2,BKG-20251231-0T3AXQ60,716,New Delhi,Vadodara,2026-01-28,CONFIRMED,SINGLE_TRAIN,4323,503,0,2026-01-26T22:11:32.780Z,2026-01-26T22:14:31.236Z,,0
3,BKG-20251231-M8K9ONBR,791,Jodhpur,New Delhi,2026-01-07,CONFIRMED,SINGLE_TRAIN,3452,580,0,2025-12-19T15:45:07.971Z,2025-12-19T15:46:15.482Z,,0
4,BKG-20251231-M5VXV54U,923,Nagpur,New Delhi,2026-01-17,CONFIRMED,SINGLE_TRAIN,4880,985,0,2025-12-29T23:25:31.943Z,2025-12-29T23:27:44.691Z,,0
5,BKG-20251231-TBK75JY9,466,Indore,Ahmedabad,2026-01-12,CONFIRMED,SINGLE_TRAIN,1198,1257,0,2025-12-30T18:37:03.315Z,2025-12-30T18:37:19.598Z,,0
6,BKG-20251231-7AXS2OF1,851,Shri Mata Vaishno Devi,Jodhpur,2026-01-02,CONFIRMED,SINGLE_TRAIN,536,938,0,2025-12-27T02:35:42.030Z,2025-12-27T02:45:01.119Z,,0
7,BKG-20251231-9TG2XEG7,460,Ahmedabad,Lucknow,2026-01-25,CONFIRMED,MULTI_TRAIN,1975,586,24,2026-01-22T20:29:02.007Z,2026-01-22T20:29:02.009Z,,0
8,BKG-20251231-3D3WYY20,788,Shri Mata Vaishno Devi,Visakhapatnam,2026-01-22,CONFIRMED,SINGLE_TRAIN,866,1079,0,2026-01-06T03:26:47.992Z,2026-01-06T03:30:42.266Z,,0
9,BKG-20251231-VAU5Y1OK,309,Jodhpur,Udaipur City,2026-01-02,CONFIRMED,SINGLE_TRAIN,2652,847,0,2025-12-11T10:23:53.183Z,2025-12-11T10:28:57.409Z,,0
10,BKG-20251231-C7Y94E1B,445,Bangalore City,Ahmedabad,2026-01-14,PAYMENT_PENDING,SINGLE_TRAIN,3510,844,0,2026-01-01T23:47:24.854Z,,,0
11,BKG-20251231-9HED4037,433,Trivandrum Central,Hyderabad Deccan,2026-01-26,CONFIRMED,MULTI_TRAIN,1331,735,169,2026-01-16T02:59:57.711Z,2026-01-16T03:04:30.346Z,,0
12,BKG-20251231-XOC4SPRD,824,Mumbai Central,Bhopal Junction,2026-01-21,CONFIRMED,SINGLE_TRAIN,562,1136,0,2026-01-07T20:58:13.815Z,2026-01-07T21:05:18.763Z,,0
13,BKG-20251231-VBLG6W1J,79,Jodhpur,Mumbai Central,2026-01-07,CONFIRMED,SINGLE_TRAIN,1579,1180,0,2026-01-05T13:10:57.093Z,2026-01-05T13:14:53.682Z,,0
14,BKG-20251231-ESZL1W48,141,Hyderabad Deccan,Pune Junction,2025-12-28,CONFIRMED,SINGLE_TRAIN,1214,639,0,2025-12-05T14:46:46.337Z,2025-12-05T14:49:18.445Z,,0
15,BKG-20251231-R3NU91TZ,990,New Delhi,Mumbai Central,2026-01-05,CONFIRMED,SINGLE_TRAIN,2712,743,0,2025-12-19T16:42:42.080Z,2025-12-19T16:45:37.568Z,,0
16,BKG-20251231-213RRFH5,634,Patna Junction,Trivandrum Central,2025-12-27,CONFIRMED,SINGLE_TRAIN,1631,1290,0,2025-12-25T13:13:05.605Z,2025-12-25T13:22:18.796Z,,0
17,BKG-20251231-7VVTKYHX,962,Pune Junction,Trivandrum Central,2026-01-08,PAYMENT_FAILED,SINGLE_TRAIN,4334,1158,0,2026-01-05T09:20:30.106Z,,,0
18,BKG-20251231-OEEIDP0N,157,Jodhpur,Nagpur,2026-01-20,CONFIRMED,SINGLE_TRAIN,2058,753,0,2026-01-03T23:24:05.195Z,2026-01-03T23:29:58.079Z,,0
19,BKG-20251231-51XYGGA6,795,Indore,Mumbai CST,2025-12-17,CONFIRMED,SINGLE_TRAIN,3490,407,0,2025-12-14T16:30:18.079Z,2025-12-14T16:36:46.922Z,,0
20,BKG-20251231-PRCKX8NK,370,Ahmedabad,Mumbai Central,2025-12-20,SEATS_BLOCKED,MULTI_TRAIN,2357,592,95,2025-12-09T01:08:16.038Z,,,0
21,BKG-20251231-NHIJIM9Z,843,Indore,Vadodara,2025-12-18,PAYMENT_FAILED,SINGLE_TRAIN,914,1142,0,2025-12-12T23:48:53.697Z,,,0
22,BKG-20251231-AHTSPITX,754,Mumbai Central,Pune Junction,2026-01-27,CONFIRMED,SINGLE_TRAIN,2160,1097,0,2026-01-03T16:52:15.950Z,2026-01-03T16:58:56.801Z,,0
23,BKG-20251231-EK75IKCU,166,Ahmedabad,Mumbai Central,2025-12-22,CONFIRMED,MULTI_TRAIN,1329,1112,109,2025-12-17T02:03:47.894Z,2025-12-17T02:12:19.264Z,,0
24,BKG-20251231-77ESJJ4R,368,Ernakulam,Udaipur City,2025-12-19,CONFIRMED,SINGLE_TRAIN,4764,985,0,2025-12-16T12:13:32.182Z,2025-12-16T12:19:23.784Z,,0
25,BKG-20251231-6LC0GDGP,23,Howrah,Indore,2026-01-09,PAYMENT_PENDING,SINGLE_TRAIN,4039,639,0,2026-01-04T00:00:27.897Z,,,0
26,BKG-20251231-ZSPU3CCA,628,Jaipur,Ernakulam,2025-12-31,CONFIRMED,SINGLE_TRAIN,561,570,0,2025-12-09T14:08:58.420Z,2025-12-09T14:12:53.781Z,,0
27,BKG-20251231-B87YP70R,75,Jaipur,Udaipur City,2026-01-21,PAYMENT_PENDING,SINGLE_TRAIN,4359,608,0,2026-01-15T18:11:56.804Z,,,0
28,BKG-20251231-7RWHYHUZ,667,Indore,Visakhapatnam,2026-01-10,PAYMENT_PENDING,SINGLE_TRAIN,3791,1435,0,2026-01-03T21:23:58.261Z,,,0
29,BKG-20251231-TYSK0LKY,909,Trivandrum Central,Vadodara,2025-12-26,PAYMENT_PENDING,MULTI_TRAIN,3967,875,169,2025-12-11T11:14:11.178Z,,,0
30,BKG-20251231-D9QL4DOZ,53,Ahmedabad,Jaipur,2026-01-16,CANCELLED,SINGLE_TRAIN,798,824,0,2025-12-29T15:46:31.765Z,,2025-12-30T05:10:58.377Z,0
31,BKG-20251231-4A2NONDN,417,Mumbai CST,Chennai Central,2026-01-14,CONFIRMED,MULTI_TRAIN,4316,500,17,2025-12-16T15:54:02.580Z,2025-12-16T16:01:12.747Z,,0
32,BKG-20251231-QIVOBP9V,246,Bhopal Junction,Jaipur,2025-12-27,PAYMENT_PENDING,SINGLE_TRAIN,820,997,0,2025-12-14T22:28:05.025Z,,,0
33,BKG-20251231-A1LJTGYQ,268,Udaipur City,Pune Junction,2025-12-30,CONFIRMED,SINGLE_TRAIN,2441,923,0,2025-12-09T05:45:15.191Z,2025-12-09T05:50:43.293Z,,0
34,BKG-20251231-O1EY5F9P,355,Patna Junction,Jodhpur,2026-01-11,CANCELLED,SINGLE_TRAIN,2463,1001,0,2025-12-17T05:54:05.016Z,,2025-12-17T06:00:30.945Z,0
35,BKG-20251231-T6BRI2V9,104,Lucknow,Bhopal Junction,2026-01-04,CONFIRMED,SINGLE_TRAIN,4175,616,0,2025-12-21T01:04:26.539Z,2025-12-21T01:13:55.796Z,,0
36,BKG-20251231-F7RQTQCC,42,Vadodara,Agra Cantt,2026-01-12,CONFIRMED,SINGLE_TRAIN,3902,761,0,2025-12-29T09:32:43.997Z,2025-12-29T09:36:45.399Z,,0
37,BKG-20251231-WPN2AHMB,886,Patna Junction,Lucknow,2026-01-11,CONFIRMED,MULTI_TRAIN,2254,683,120,2025-12-23T22:31:44.855Z,2025-12-23T22:33:49.516Z,,0
38,BKG-20251231-IX1Q0QC5,238,Chennai Central,Jodhpur,2026-01-12,CONFIRMED,MULTI_TRAIN,4035,1385,55,2026-01-04T23:59:07.586Z,2026-01-05T00:07:47.614Z,,0
39,BKG-20251231-L0HDJLMK,58,Mumbai CST,Vadodara,2025-12-23,CONFIRMED,SINGLE_TRAIN,2699,486,0,2025-12-22T23:53:55.445Z,2025-12-23T00:00:44.078Z,,0
40,BKG-20251231-2T5MNZ5H,498,Ernakulam,Gwalior,2026-01-13,CANCELLED,SINGLE_TRAIN,3024,1056,0,2025-12-21T13:24:49.669Z,,2025-12-21T20:07:39.422Z,0
41,BKG-20251231-BE1V1AJL,189,Howrah,Jaipur,2026-01-22,CONFIRMED,SINGLE_TRAIN,3303,532,0,2026-01-11T13:33:25.882Z,2026-01-11T13:37:56.492Z,,0
42,BKG-20251231-Y14T28J7,932,Vadodara,Nagpur,2025-12-22,PAYMENT_FAILED,SINGLE_TRAIN,1798,246,0,2025-12-12T11:54:40.456Z,,,0
43,BKG-20251231-SU8DU46Y,611,Patna Junction,Ahmedabad,2025-12-16,PAYMENT_PENDING,SINGLE_TRAIN,731,343,0,2025-12-14T20:31:46.327Z,,,0
44,BKG-20251231-4SH80S6V,651,Bangalore City,Agra Cantt,2026-01-04,PAYMENT_FAILED,SINGLE_TRAIN,2965,802,0,2025-12-26T05:01:40.122Z,,,0
45,BKG-20251231-ZMOOVQV7,926,Patna Junction,Howrah,2025-12-30,PAYMENT_FAILED,SINGLE_TRAIN,3788,1215,0,2025-12-17T23:12:37.813Z,,,0
46,BKG-20251231-CE6SBIA0,364,Jodhpur,Indore,2026-01-19,CONFIRMED,SINGLE_TRAIN,1567,967,0,2026-01-15T03:48:04.856Z,2026-01-15T03:49:30.629Z,,0
47,BKG-20251231-OOJS90VB,815,Vadodara,Bangalore City,2026-01-11,PAYMENT_PENDING,SINGLE_TRAIN,1637,446,0,2025-12-29T11:00:55.247Z,,,0
48,BKG-20251231-898WBRWY,696,Hyderabad Deccan,Shri Mata Vaishno Devi,2026-01-24,CONFIRMED,SINGLE_TRAIN,1557,1382,0,2026-01-04T14:09:27.879Z,2026-01-04T14:09:29.208Z,,0
49,BKG-20251231-1HDRMZSN,583,Indore,Patna Junction,2026-01-21,CONFIRMED,MULTI_TRAIN,2873,773,149,2026-01-16T08:15:31.519Z,2026-01-16T08:19:43.120Z,,0
50,BKG-20251231-EZR671GG,660,Ahmedabad,Jaipur,2026-01-27,PAYMENT_PENDING,SINGLE_TRAIN,2931,1257,0,2026-01-16T14:04:41.864Z,,,0
51,BKG-20251231-FYFF0GE6,614,Pune Junction,Hyderabad Deccan,2025-12-19,CONFIRMED,SINGLE_TRAIN,4013,1367,0,2025-12-18T10:10:19.085Z,2025-12-18T10:12:50.627Z,,0
52,BKG-20251231-XDF1GYLT,694,Shri Mata Vaishno Devi,Jodhpur,2025-12-22,CONFIRMED,SINGLE_TRAIN,1504,1042,0,2025-12-09T21:01:14.214Z,2025-12-09T21:05:23.061Z,,0
53,BKG-20251231-0W4T3NOR,673,Shri Mata Vaishno Devi,Ernakulam,2025-12-25,CONFIRMED,SINGLE_TRAIN,3188,795,0,2025-12-03T17:07:38.602Z,2025-12-03T17:10:55.443Z,,0
54,BKG-20251231-NA33V45C,944,Patna Junction,New Delhi,2026-01-09,CONFIRMED,SINGLE_TRAIN,4788,1198,0,2025-12-30T15:52:44.800Z,2025-12-30T15:59:31.910Z,,0
55,BKG-20251231-7KHY97LO,27,Udaipur City,Jaipur,2025-12-20,CONFIRMED,SINGLE_TRAIN,3516,309,0,2025-11-22T14:37:25.901Z,2025-11-22T14:44:28.353Z,,0
56,BKG-20251231-L43J1Y97,456,Indore,Mumbai Central,2025-12-30,CONFIRMED,SINGLE_TRAIN,817,1162,0,2025-12-14T16:51:47.220Z,2025-12-14T16:56:42.213Z,,0
57,BKG-20251231-DQAT1BOS,864,Lucknow,Nagpur,2026-01-18,CANCELLED,SINGLE_TRAIN,3343,814,0,2026-01-04T23:41:55.744Z,,2026-01-05T04:50:31.054Z,0
58,BKG-20251231-XKP560CA,668,Jaipur,Ernakulam,2026-01-24,CONFIRMED,SINGLE_TRAIN,4612,1017,0,2026-01-12T22:09:02.853Z,2026-01-12T22:15:59.358Z,,0
59,BKG-20251231-N5G45SPT,947,Bhopal Junction,Vadodara,2025-12-25,CONFIRMED,SINGLE_TRAIN,1478,1228,0,2025-12-17T00:27:57.576Z,2025-12-17T00:30:15.684Z,,0
60,BKG-20251231-F701EZ66,919,Indore,Visakhapatnam,2026-01-03,CONFIRMED,SINGLE_TRAIN,4662,371,0,2025-12-16T03:23:07.592Z,2025-12-16T03:31:30.367Z,,0
61,BKG-20251231-T44QPVFV,279,Patna Junction,Jaipur,2026-01-27,CONFIRMED,MULTI_TRAIN,1229,1363,20,2026-01-11T10:19:57.198Z,2026-01-11T10:20:13.295Z,,0
62,BKG-20251231-S4B3P1W3,97,Patna Junction,Ahmedabad,2025-12-27,PAYMENT_FAILED,SINGLE_TRAIN,904,419,0,2025-12-07T20:00:32.989Z,,,0
63,BKG-20251231-UUPNH0TT,79,Bhopal Junction,Ahmedabad,2026-01-23,CONFIRMED,SINGLE_TRAIN,3248,787,0,2025-12-29T09:37:42.461Z,2025-12-29T09:45:01.496Z,,0
64,BKG-20251231-A97DY430,175,Trivandrum Central,Pune Junction,2025-12-28,PAYMENT_FAILED,SINGLE_TRAIN,3643,1354,0,2025-12-11T11:47:44.186Z,,,0
65,BKG-20251231-E0DY19UT,187,Udaipur City,Vadodara,2026-01-17,PAYMENT_PENDING,SINGLE_TRAIN,2850,819,0,2026-01-05T00:09:07.798Z,,,0
66,BKG-20251231-VYGYVUL0,237,Visakhapatnam,Howrah,2025-12-22,CONFIRMED,SINGLE_TRAIN,744,913,0,2025-12-04T01:53:54.801Z,2025-12-04T02:02:18.890Z,,0
67,BKG-20251231-N9VVQGS0,105,Vadodara,Howrah,2026-01-10,CANCELLED,SINGLE_TRAIN,4545,1373,0,2026-01-08T05:48:57.458Z,,2026-01-08T06:23:04.328Z,0
68,BKG-20251231-ORLWSN9Y,780,Ahmedabad,Lucknow,2026-01-15,CONFIRMED,SINGLE_TRAIN,588,813,0,2026-01-12T11:55:54.177Z,2026-01-12T11:59:44.921Z,,0
69,BKG-20251231-WE8S62LA,385,Udaipur City,Pune Junction,2025-12-23,CONFIRMED,SINGLE_TRAIN,4074,1377,0,2025-12-21T16:45:46.697Z,2025-12-21T16:55:27.293Z,,0
70,BKG-20251231-GUR5BRMM,324,Ernakulam,Amritsar,2026-01-29,CONFIRMED,SINGLE_TRAIN,3380,529,0,2026-01-23T00:42:56.289Z,2026-01-23T00:45:09.690Z,,0
71,BKG-20251231-CUMVWNR7,288,Patna Junction,Bhopal Junction,2025-12-23,CONFIRMED,SINGLE_TRAIN,4438,535,0,2025-12-23T03:22:50.269Z,2025-12-23T03:29:11.159Z,,0
72,BKG-20251231-JANVRIU9,54,Lucknow,Mumbai CST,2026-01-26,CONFIRMED,SINGLE_TRAIN,3576,953,0,2025-12-30T17:49:23.611Z,2025-12-30T17:50:43.553Z,,0
73,BKG-20251231-BNTBGUS9,563,Hyderabad Deccan,Jodhpur,2026-01-27,CONFIRMED,MULTI_TRAIN,3238,338,172,2026-01-25T19:17:31.210Z,2026-01-25T19:20:44.806Z,,0
74,BKG-20251231-EVPPAB42,941,Pune Junction,Bhopal Junction,2026-01-03,PAYMENT_PENDING,SINGLE_TRAIN,896,630,0,2025-12-16T19:07:12.706Z,,,0
75,BKG-20251231-7UO9382G,145,Nagpur,Visakhapatnam,2026-01-23,CONFIRMED,SINGLE_TRAIN,4934,810,0,2025-12-31T07:13:25.093Z,2025-12-31T07:22:20.266Z,,0
76,BKG-20251231-W9HSJJF3,678,Jaipur,Nagpur,2025-12-30,CONFIRMED,SINGLE_TRAIN,3380,911,0,2025-12-09T19:32:38.430Z,2025-12-09T19:42:36.895Z,,0
77,BKG-20251231-EZJZF90N,56,Lucknow,Visakhapatnam,2025-12-19,CANCELLED,SINGLE_TRAIN,1756,1329,0,2025-12-11T18:27:22.905Z,,2025-12-11T22:35:55.934Z,0
78,BKG-20251231-5GSL0991,91,Ahmedabad,Amritsar,2026-01-30,CONFIRMED,SINGLE_TRAIN,593,685,0,2026-01-27T05:30:01.872Z,2026-01-27T05:31:43.637Z,,0
79,BKG-20251231-KK2AB83E,787,Nagpur,Trivandrum Central,2025-12-31,CANCELLED,SINGLE_TRAIN,1576,853,0,2025-12-06T03:58:52.210Z,,2025-12-06T19:57:19.862Z,0
80,BKG-20251231-2ZAMNSK0,316,Patna Junction,Hyderabad Deccan,2026-01-19,SEATS_BLOCKED,SINGLE_TRAIN,1504,1293,0,2025-12-23T06:21:35.984Z,,,0
81,BKG-20251231-Y2F5XYDG,370,Ernakulam,Vadodara,2026-01-01,CANCELLED,SINGLE_TRAIN,2590,250,0,2025-12-09T13:12:27.023Z,,2025-12-09T19:41:55.749Z,0
82,BKG-20251231-D2N2R6QN,588,Mumbai Central,Udaipur City,2025-12-23,CANCELLED,SINGLE_TRAIN,1214,1000,0,2025-12-17T11:04:11.908Z,,2025-12-18T01:33:31.534Z,0
83,BKG-20251231-KE8FW9F5,389,Hyderabad Deccan,Ahmedabad,2025-12-16,CONFIRMED,SINGLE_TRAIN,2020,924,0,2025-11-17T19:26:26.512Z,2025-11-17T19:26:52.058Z,,0
84,BKG-20251231-SC8MSI4R,762,Nagpur,Agra Cantt,2026-01-18,SEATS_BLOCKED,SINGLE_TRAIN,1168,689,0,2026-01-12T07:31:18.911Z,,,0
85,BKG-20251231-MKVG61K7,675,Pune Junction,Jodhpur,2026-01-17,CANCELLED,SINGLE_TRAIN,3420,813,0,2026-01-07T15:09:41.399Z,,2026-01-08T01:38:24.535Z,0
86,BKG-20251231-4A6KSX5B,374,Indore,Udaipur City,2025-12-18,CONFIRMED,SINGLE_TRAIN,4912,450,0,2025-12-06T17:31:06.823Z,2025-12-06T17:34:25.222Z,,0
87,BKG-20251231-A46BD4GC,916,Ahmedabad,Mumbai CST,2026-01-06,CONFIRMED,SINGLE_TRAIN,772,894,0,2025-12-24T11:35:38.009Z,2025-12-24T11:44:23.086Z,,0
88,BKG-20251231-MRJOF5OL,217,Pune Junction,Mumbai CST,2025-12-29,CONFIRMED,SINGLE_TRAIN,3795,566,0,2025-12-27T16:33:10.820Z,2025-12-27T16:33:13.892Z,,0
89,BKG-20251231-4JSRJMJC,895,Indore,Agra Cantt,2025-12-18,CONFIRMED,SINGLE_TRAIN,2021,538,0,2025-11-24T14:16:31.173Z,2025-11-24T14:24:17.233Z,,0
90,BKG-20251231-NL80QAEE,674,Jaipur,Ahmedabad,2025-12-21,PAYMENT_PENDING,SINGLE_TRAIN,4904,647,0,2025-12-21T04:08:48.439Z,,,0
91,BKG-20251231-8IQST0YR,638,Hyderabad Deccan,Lucknow,2025-12-27,CONFIRMED,SINGLE_TRAIN,688,543,0,2025-12-05T13:03:25.867Z,2025-12-05T13:10:53.188Z,,0
92,BKG-20251231-YM3B5B70,54,Pune Junction,Hyderabad Deccan,2026-01-06,CONFIRMED,SINGLE_TRAIN,3949,1175,0,2025-12-27T16:52:04.474Z,2025-12-27T16:58:45.214Z,,0
93,BKG-20251231-YKW0BBDN,280,Howrah,Amritsar,2026-01-23,SEATS_BLOCKED,SINGLE_TRAIN,4740,1385,0,2026-01-16T15:56:38.299Z,,,0
94,BKG-20251231-ZY9S9JSF,951,Hyderabad Deccan,Bhopal Junction,2026-01-29,CONFIRMED,SINGLE_TRAIN,913,1138,0,2026-01-07T09:31:00.628Z,2026-01-07T09:32:18.798Z,,0
95,BKG-20251231-HVF8PVMA,705,Jaipur,Nagpur,2026-01-20,CONFIRMED,SINGLE_TRAIN,2303,710,0,2025-12-27T23:06:19.212Z,2025-12-27T23:10:17.474Z,,0
96,BKG-20251231-DM3VY95E,958,Bangalore City,Jodhpur,2025-12-22,CONFIRMED,SINGLE_TRAIN,4486,556,0,2025-11-28T20:27:32.583Z,2025-11-28T20:29:32.707Z,,0
97,BKG-20251231-1DSEKPI5,406,Patna Junction,Chennai Central,2026-01-27,PAYMENT_PENDING,SINGLE_TRAIN,1956,595,0,2026-01-18T21:20:36.014Z,,,0
98,BKG-20251231-2LA5VV9D,425,Udaipur City,Chennai Central,2026-01-26,CONFIRMED,SINGLE_TRAIN,1175,713,0,2026-01-21T20:35:32.465Z,2026-01-21T20:41:54.085Z,,0
99,BKG-20251231-VGG1OC8M,211,Jodhpur,Jaipur,2026-01-18,CONFIRMED,SINGLE_TRAIN,1738,1267,0,2026-01-14T08:46:30.613Z,2026-01-14T08:54:32.369Z,,0
100,BKG-20251231-PU9AMH6M,771,Ernakulam,New Delhi,2025-12-20,CONFIRMED,SINGLE_TRAIN,1268,516,0,2025-12-10T11:05:33.918Z,2025-12-10T11:12:17.175Z,,0
101,BKG-20251231-7GL4S33D,125,Nagpur,Patna Junction,2026-01-06,CONFIRMED,SINGLE_TRAIN,3676,1208,0,2025-12-13T16:04:05.661Z,2025-12-13T16:07:33.387Z,,0
102,BKG-20251231-XZ9HLGYU,674,Udaipur City,Mumbai CST,2026-01-02,CONFIRMED,SINGLE_TRAIN,2984,1195,0,2025-12-26T03:26:09.010Z,2025-12-26T03:33:27.866Z,,0
103,BKG-20251231-OMIOTWZ7,657,Udaipur City,Jaipur,2026-01-09,PAYMENT_PENDING,SINGLE_TRAIN,4881,1056,0,2026-01-01T13:27:27.755Z,,,0
104,BKG-20251231-R2APF832,622,Jaipur,Hyderabad Deccan,2026-01-21,CONFIRMED,SINGLE_TRAIN,881,484,0,2026-01-02T08:02:49.870Z,2026-01-02T08:05:33.612Z,,0
105,BKG-20251231-YK3KQSXU,349,Howrah,Jaipur,2026-01-17,CONFIRMED,SINGLE_TRAIN,2073,1206,0,2025-12-21T00:50:02.132Z,2025-12-21T00:53:05.514Z,,0
106,BKG-20251231-5SLS3RD1,93,Mumbai CST,Agra Cantt,2026-01-20,PAYMENT_FAILED,SINGLE_TRAIN,3955,1373,0,2025-12-31T05:08:07.837Z,,,0
107,BKG-20251231-IFFROZM8,950,Udaipur City,Indore,2026-01-12,CONFIRMED,SINGLE_TRAIN,971,629,0,2026-01-10T05:49:59.450Z,2026-01-10T05:55:20.150Z,,0
108,BKG-20251231-M5MTMOHJ,606,Indore,Ahmedabad,2025-12-27,CONFIRMED,SINGLE_TRAIN,3594,881,0,2025-12-14T15:44:54.198Z,2025-12-14T15:45:29.728Z,,0
