id,user_id,type,subject,message,channel,status,related_entity_id,error_message,created_at,sent_at,read_at
1,971,BOOKING_CONFIRMATION,Booking Confirmed - BKG-20251231-9IQKS4JI,Your train booking BKG-20251231-9IQKS4JI has been confirmed successfully.,SMS,SENT,BKG-20251231-9IQKS4JI,,2025-12-12T05:14:46.257Z,2025-12-12T05:14:51.257Z,
2,971,PAYMENT_SUCCESS,Payment Successful - BKG-20251231-9IQKS4JI,Payment received successfully for booking BKG-20251231-9IQKS4JI.,PUSH,SENT,BKG-20251231-9IQKS4JI,,2025-12-12T05:14:46.257Z,2025-12-12T05:14:51.257Z,
3,716,BOOKING_CONFIRMATION,Booking Confirmed - BKG-20251231-0T3AXQ60,Your train booking BKG-20251231-0T3AXQ60 has been confirmed successfully.,PUSH,SENT,BKG-20251231-0T3AXQ60,,2026-01-26T22:11:37.780Z,2026-01-26T22:11:42.780Z,
4,716,PAYMENT_SUCCESS,Payment Successful - BKG-20251231-0T3AXQ60,Payment received successfully for booking BKG-20251231-0T3AXQ60.,SMS,SENT,BKG-20251231-0T3AXQ60,,2026-01-26T22:11:37.780Z,2026-01-26T22:11:42.780Z,
5,791,BOOKING_CONFIRMATION,Booking Confirmed - BKG-20251231-M8K9ONBR,Your train booking BKG-20251231-M8K9ONBR has been confirmed successfully.,PUSH,SENT,BKG-20251231-M8K9ONBR,,2025-12-19T15:45:12.971Z,2025-12-19T15:45:17.971Z,
6,791,PAYMENT_SUCCESS,Payment Successful - BKG-20251231-M8K9ONBR,Payment received successfully for booking BKG-20251231-M8K9ONBR.,PUSH,SENT,BKG-20251231-M8K9ONBR,,2025-12-19T15:45:12.971Z,2025-12-19T15:45:17.971Z,
7,923,BOOKING_CONFIRMATION,Booking Confirmed - BKG-20251231-M5VXV54U,Your train booking BKG-20251231-M5VXV54U has been confirmed successfully.,SMS,SENT,BKG-20251231-M5VXV54U,,2025-12-29T23:25:36.943Z,2025-12-29T23:25:41.943Z,
8,923,PAYMENT_SUCCESS,Payment Successful - BKG-20251231-M5VXV54U,Payment received successfully for booking BKG-20251231-M5VXV54U.,SMS,SENT,BKG-20251231-M5VXV54U,,2025-12-29T23:25:36.943Z,2025-12-29T23:25:41.943Z,
9,466,BOOKING_CONFIRMATION,Booking Confirmed - BKG-20251231-TBK75JY9,Your train booking BKG-20251231-TBK75JY9 has been confirmed successfully.,PUSH,SENT,BKG-20251231-TBK75JY9,,2025-12-30T18:37:08.315Z,2025-12-30T18:37:13.315Z,
10,466,PAYMENT_SUCCESS,Payment Successful - BKG-20251231-TBK75JY9,Payment received successfully for booking BKG-20251231-TBK75JY9.,PUSH,SENT,BKG-20251231-TBK75JY9,,2025-12-30T18:37:08.315Z,2025-12-30T18:37:13.315Z,
