id,train_id,station_code,station_name,station_order,arrival_time,departure_time,halt_time_minutes,distance_from_source,platform,created_at
1,1,AJME_2,Ajmer,2,02:29:00,02:39:00,10,105,3,2025-12-31 07:53:19
2,1,PALA_3,Palanpur,3,03:36:00,03:36:00,0,252,6,2025-12-31 07:53:19
3,1,MATH_4,Mathura,4,05:15:00,05:25:00,10,379,2,2025-12-31 07:53:19
4,1,SALE_5,Salem,5,06:46:00,07:01:00,15,561,6,2025-12-31 07:53:19
5,1,VISA_6,Visakhapatnam,6,07:54:00,08:04:00,10,720,6,2025-12-31 07:53:19
6,1,KHAR_7,Kharagpur,7,09:13:00,09:18:00,5,901,5,2025-12-31 07:53:19
7,1,ANKL_8,Ankleshwar,8,10:42:00,10:44:00,2,961,6,2025-12-31 07:53:19
8,1,BALH_9,Balharshah,9,12:05:00,12:10:00,5,1100,6,2025-12-31 07:53:19
9,1,NAGD_10,Nagda,10,13:23:00,13:25:00,2,1166,3,2025-12-31 07:53:19
10,1,MANM_11,Manmad,11,14:51:00,14:56:00,5,1226,2,2025-12-31 07:53:19
11,1,BRAH_12,Brahmapur,12,16:24:00,16:26:00,2,1395,5,2025-12-31 07:53:19
12,1,WARD_13,Wardha,13,17:52:00,17:52:00,0,1471,3,2025-12-31 07:53:19
13,1,BHAR_14,Bharatpur,14,18:57:00,19:07:00,10,1552,5,2025-12-31 07:53:19
14,1,SURA_15,Surat,15,20:39:00,20:49:00,10,1722,3,2025-12-31 07:53:19
15,2,JOLA_2,Jolarpettai,2,09:00:00,09:15:00,15,89,5,2025-12-31 07:53:19
16,2,MATH_3,Mathura,3,09:50:00,10:05:00,15,246,2,2025-12-31 07:53:19
17,2,SHEG_4,Shegaon,4,10:38:00,10:40:00,2,305,4,2025-12-31 07:53:19
18,2,ARAK_5,Arakkonam,5,10:58:00,11:13:00,15,355,6,2025-12-31 07:53:19
19,2,BALA_6,Balasore,6,11:58:00,12:00:00,2,554,5,2025-12-31 07:53:19
20,2,NELL_7,Nellore,7,12:54:00,12:59:00,5,686,4,2025-12-31 07:53:19
21,2,VALS_8,Valsad,8,13:39:00,13:41:00,2,782,2,2025-12-31 07:53:19
22,2,MANM_9,Manmad,9,14:29:00,14:34:00,5,897,5,2025-12-31 07:53:19
