id,transaction_id,booking_id,user_id,journey_id,amount,currency,status,payment_method,payment_gateway,failure_reason,gateway_response,created_at,updated_at,completed_at,expires_at,version
1,TXN1767167685499W9HJV99,BKG-20251231-9IQKS4JI,971,1,4835,INR,SUCCESS,UPI,PhonePe,,"{""status"":""success"",""txn_id"":""TXN1767167685499W9HJV99"",""bank_ref"":""1db2hfzfw1k""}",2025-12-12T05:14:42.257Z,2025-12-12T05:14:46.257Z,2025-12-12T05:15:11.257Z,,0
2,TXN1767167685500YLK9K9X,BKG-20251231-0T3AXQ60,716,2,4323,INR,SUCCESS,CREDIT_CARD,PhonePe,,"{""status"":""success"",""txn_id"":""TXN1767167685500YLK9K9X"",""bank_ref"":""x2llg77mqho""}",2026-01-26T22:11:33.780Z,2026-01-26T22:11:37.780Z,2026-01-26T22:12:02.780Z,,0
3,TXN17671676855007BWTXA5,BKG-20251231-M8K9ONBR,791,3,3452,INR,SUCCESS,WALLET,Razorpay,,"{""status"":""success"",""txn_id"":""TXN17671676855007BWTXA5"",""bank_ref"":""n453qtn72eh""}",2025-12-19T15:45:08.971Z,2025-12-19T15:45:12.971Z,2025-12-19T15:45:37.971Z,,0
4,TXN1767167685500RLVAVBA,BKG-20251231-M5VXV54U,923,4,4880,INR,SUCCESS,DEBIT_CARD,Paytm,,"{""status"":""success"",""txn_id"":""TXN1767167685500RLVAVBA"",""bank_ref"":""devil3yjtba""}",2025-12-29T23:25:32.943Z,2025-12-29T23:25:36.943Z,2025-12-29T23:26:01.943Z,,0
5,TXN1767167685500EEJG04O,BKG-20251231-TBK75JY9,466,5,1198,INR,SUCCESS,WALLET,PhonePe,,"{""status"":""success"",""txn_id"":""TXN1767167685500EEJG04O"",""bank_ref"":""grzxcg5bpxu""}",2025-12-30T18:37:04.315Z,2025-12-30T18:37:08.315Z,2025-12-30T18:37:33.315Z,,0
6,TXN1767167685500LX831RV,BKG-20251231-7AXS2OF1,851,6,536,INR,SUCCESS,WALLET,PhonePe,,"{""status"":""success"",""txn_id"":""TXN1767167685500LX831RV"",""bank_ref"":""fmp6449hbsc""}",2025-12-27T02:35:43.030Z,2025-12-27T02:35:47.030Z,2025-12-27T02:36:12.030Z,,0
7,TXN17671676855008AWXZCK,BKG-20251231-9TG2XEG7,460,7,1975,INR,SUCCESS,DEBIT_CARD,Razorpay,,"{""status"":""success"",""txn_id"":""TXN17671676855008AWXZCK"",""bank_ref"":""7o63fj3xphc""}",2026-01-22T20:29:03.007Z,2026-01-22T20:29:07.007Z,2026-01-22T20:29:32.007Z,,0
8,TXN17671676855008HDT3GB,BKG-20251231-3D3WYY20,788,8,866,INR,SUCCESS,DEBIT_CARD,PhonePe,,"{""status"":""success"",""txn_id"":""TXN17671676855008HDT3GB"",""bank_ref"":""8qsjzlzov2j""}",2026-01-06T03:26:48.992Z,2026-01-06T03:26:52.992Z,2026-01-06T03:27:17.992Z,,0
9,TXN17671676855009F05NUI,BKG-20251231-VAU5Y1OK,309,9,2652,INR,SUCCESS,WALLET,GooglePay,,"{""status"":""success"",""txn_id"":""TXN17671676855009F05NUI"",""bank_ref"":""wdzzknlld6g""}",2025-12-11T10:23:54.183Z,2025-12-11T10:23:58.183Z,2025-12-11T10:24:23.183Z,,0
10,TXN17671676855006FYP9PR,BKG-20251231-C7Y94E1B,445,10,3510,INR,PENDING,UPI,PhonePe,,,2026-01-01T23:47:25.854Z,2026-01-01T23:47:29.854Z,,2026-01-01T23:51:24.854Z,0
11,TXN1767167685500JG8L3WT,BKG-20251231-9HED4037,433,11,1331,INR,SUCCESS,CREDIT_CARD,Paytm,,"{""status"":""success"",""txn_id"":""TXN1767167685500JG8L3WT"",""bank_ref"":""g5sr9sujj2w""}",2026-01-16T02:59:58.711Z,2026-01-16T03:00:02.711Z,2026-01-16T03:00:27.711Z,,0
12,TXN1767167685500PDVBL1Y,BKG-20251231-XOC4SPRD,824,12,562,INR,SUCCESS,WALLET,PayU,,"{""status"":""success"",""txn_id"":""TXN1767167685500PDVBL1Y"",""bank_ref"":""o6za3g1hzcc""}",2026-01-07T20:58:14.815Z,2026-01-07T20:58:18.815Z,2026-01-07T20:58:43.815Z,,0
13,TXN1767167685500RPNT1SJ,BKG-20251231-VBLG6W1J,79,13,1579,INR,SUCCESS,DEBIT_CARD,PayU,,"{""status"":""success"",""txn_id"":""TXN1767167685500RPNT1SJ"",""bank_ref"":""wye3whiyunn""}",2026-01-05T13:10:58.093Z,2026-01-05T13:11:02.093Z,2026-01-05T13:11:27.093Z,,0
14,TXN1767167685500EY5NT9U,BKG-20251231-ESZL1W48,141,14,1214,INR,SUCCESS,UPI,Paytm,,"{""status"":""success"",""txn_id"":""TXN1767167685500EY5NT9U"",""bank_ref"":""9kvqkfse3yh""}",2025-12-05T14:46:47.337Z,2025-12-05T14:46:51.337Z,2025-12-05T14:47:16.337Z,,0
15,TXN1767167685500S34ILMV,BKG-20251231-R3NU91TZ,990,15,2712,INR,SUCCESS,CREDIT_CARD,PayU,,"{""status"":""success"",""txn_id"":""TXN1767167685500S34ILMV"",""bank_ref"":""w5zkj6jcq0d""}",2025-12-19T16:42:43.080Z,2025-12-19T16:42:47.080Z,2025-12-19T16:43:12.080Z,,0
16,TXN1767167685500N42GO9X,BKG-20251231-213RRFH5,634,16,1631,INR,SUCCESS,WALLET,Razorpay,,"{""status"":""success"",""txn_id"":""TXN1767167685500N42GO9X"",""bank_ref"":""b0zpsd9zvff""}",2025-12-25T13:13:06.605Z,2025-12-25T13:13:10.605Z,2025-12-25T13:13:35.605Z,,0
